Lead_ID,First_name,Last_name,Full_name,Gender,Date_of_Birth,Product_name,Product_ID,Account_Created_Date,Product_Category
LI-0517,Gerda,Crawshay,Gerda Crawshay,F,28-09-2002,"""Ultron""",BM-5616-dn,23-12-2019,"""Kitchen"""
LI-8610,Rodrick,Loachhead,Rodrick Loachhead,M,13-10-2005,"""Ultron""",RP-5441-uh,30-03-2020,"""Kitchen"""
LI-6778,Pearl,Domesday,Pearl Domesday,F,03-11-1990,"""Ultron""",BM-5490-fb,09-03-2020,"""Science and Technology"""
LI-7083,Josie,Roj,Josie Roj,F,12-05-2015,"""Jarvis""",BM-5393-fc,25-12-2019,"""Kitchen"""
LI-8512,Kalindi,Grgic,Kalindi Grgic,F,31-03-1995,"""Kits Fireside""",JS-9707-yb,27-10-2019,"""Science and Technology"""
LI-0129,Dame,Witterick,Dame Witterick,M,20-07-2013,"""Ultron""",RP-2233-pk,15-07-2020,"""Kitchen"""
LI-8813,Penn,O'Donegan,Penn O'Donegan,M,15-11-2003,"""Ultron""",BM-7042-as,10-05-2020,"""Kitchen"""
LI-6722,Franciska,Vasler,Franciska Vasler,F,22-10-2006,"""Jarvis""",RP-1550-mg,11-10-2019,"""Kitchen"""
LI-1911,Gabbi,Lanfare,Gabbi Lanfare,F,06-11-2012,"""Jarvis""",RP-5122-vd,05-10-2020,"""Science and Technology"""
LI-0363,Emile,Ismead,Emile Ismead,M,03-10-2007,"""Ultron""",RP-0294-ks,26-05-2020,"""Science and Technology"""
LI-2963,Dani,Hutchason,Dani Hutchason,F,13-12-2019,"""Jarvis""",HC-8825-lg,18-09-2020,"""Kitchen"""
LI-7205,Liuka,Lindblad,Liuka Lindblad,F,23-10-2018,"""Ultron""",RP-9392-ty,11-04-2020,"""Kitchen"""
LI-8064,Bobbie,Dumphrey,Bobbie Dumphrey,M,03-02-2010,"""Kits Focal""",RP-8172-dx,16-01-2020,"""Kitchen"""
LI-4698,Becky,Trump,Becky Trump,F,11-02-2013,"""Skynet""",RP-7630-ol,22-07-2020,"""Kitchen"""
LI-9631,Teodor,Pretious,Teodor Pretious,M,31-10-2018,"""Jarvis""",HC-5582-ap,12-07-2020,"""Science and Technology"""
LI-2422,Laverne,McGrah,Laverne McGrah,F,02-05-2014,"""Ultron""",RP-4212-xl,29-12-2019,"""Kitchen"""
LI-4692,Dudley,Prozescky,Dudley Prozescky,M,17-05-1994,"""Ultron""",RP-4755-ip,05-12-2019,"""Kitchen"""
LI-5192,Ludvig,Orrock,Ludvig Orrock,M,21-05-2018,"""Jarvis""",RP-8214-pa,11-02-2020,"""Art and Craft"""
LI-5924,Deb,Willstrop,Deb Willstrop,F,25-01-2007,"""DIY Quest""",RP-1116-rl,05-08-2020,"""Kitchen"""
LI-9134,Octavius,De Bernardi,Octavius De Bernardi,M,04-11-1993,"""Jarvis""",RP-5288-oy,23-09-2019,"""Science and Technology"""
LI-3867,Trip,O'Dunniom,Trip O'Dunniom,M,19-11-1995,"""Skynet""",BM-1787-qc,13-06-2020,"""Science and Technology"""
LI-5243,Niven,Axtens,Niven Axtens,M,08-06-2013,"""Jarvis""",RP-7750-ix,05-09-2020,"""Kitchen"""
LI-9773,Gwendolyn,Delafont,Gwendolyn Delafont,F,10-01-1998,"""Jarvis""",RP-7208-yr,17-09-2020,"""Science and Technology"""
LI-3958,Franzen,Doggart,Franzen Doggart,M,16-11-1998,"""Jarvis""",RP-8238-si,27-03-2020,"""Kitchen"""
LI-6528,Ally,Cowthard,Ally Cowthard,F,09-10-1998,"""Ultron""",BM-6441-op,30-09-2020,"""Kitchen"""
LI-7249,Torey,Simionato,Torey Simionato,M,02-06-1992,"""Jarvis""",RP-7433-ks,27-03-2020,"""Science and Technology"""
LI-7197,Agata,Python,Agata Python,F,04-03-2009,"""Jarvis""",RP-8611-mi,16-04-2020,"""Kitchen"""
LI-1390,Mae,Mahomet,Mae Mahomet,F,31-05-2000,"""Jarvis""",BM-4453-ch,11-09-2020,"""Kitchen"""
LI-9874,Frasier,Reisin,Frasier Reisin,M,29-07-2000,"""Jarvis""",RP-2106-ls,05-09-2020,"""Kitchen"""
LI-0163,Sayers,Capel,Sayers Capel,M,09-09-2014,"""Jarvis""",RP-9850-wt,08-07-2020,"""Kitchen"""
LI-2963,Walker,Glitherow,Walker Glitherow,M,08-07-2004,"""Jarvis""",BM-4265-gd,28-10-2019,"""Science and Technology"""
LI-1176,Chuck,Cracknell,Chuck Cracknell,M,26-08-2005,"""Jarvis""",BM-6916-ti,24-07-2020,"""Kitchen"""
LI-1309,Rafi,Mucklow,Rafi Mucklow,M,05-02-2018,"""Jarvis""",RP-0071-vw,24-12-2019,"""Kitchen"""
LI-6411,Edan,Kirwin,Edan Kirwin,M,24-03-1993,"""Jarvis""",RP-4851-pv,10-12-2019,"""Science and Technology"""
LI-4631,Vinson,Tunnicliffe,Vinson Tunnicliffe,M,17-01-1993,"""Kits Focal""",BM-4913-nu,04-10-2019,"""Kitchen"""
LI-1882,Kristal,Ciccottio,Kristal Ciccottio,F,05-11-2018,"""Kits Focal""",RP-6105-kg,22-09-2019,"""Kitchen"""
LI-4825,Xever,Spincks,Xever Spincks,M,27-11-2006,"""Ultron""",JS-0450-jy,15-06-2020,"""Kitchen"""
LI-3393,Clark,Mapplebeck,Clark Mapplebeck,M,22-08-1995,"""Skynet""",BM-0561-iv,11-06-2020,"""Science and Technology"""
LI-2755,Arley,Merryman,Arley Merryman,M,22-01-2018,"""Jarvis""",BM-5403-ma,08-04-2020,"""Science and Technology"""
LI-2722,Zaria,Moreno,Zaria Moreno,F,23-10-2004,"""Jarvis""",RP-6713-pv,15-06-2020,"""Science and Technology"""
LI-5222,Issie,Skeffington,Issie Skeffington,F,09-12-2019,"""Jarvis""",JS-3341-iq,10-04-2020,"""Science and Technology"""
LI-2000,Bo,O'Hingerty,Bo O'Hingerty,M,13-12-2002,"""Jarvis""",BM-2303-qj,27-12-2019,"""Kitchen"""
LI-4348,Erl,Gleed,Erl Gleed,M,22-11-2014,"""Ultron""",RP-5208-fa,09-10-2020,"""Kitchen"""
LI-5753,Cacilia,Helliker,Cacilia Helliker,F,20-02-1993,"""Jarvis""",JS-8392-qx,08-10-2019,"""Kitchen"""
LI-2601,Roselia,Burkart,Roselia Burkart,F,02-12-1990,"""Ultron""",RP-7792-nl,26-04-2020,"""Kitchen"""
LI-6613,Rebeka,MacRorie,Rebeka MacRorie,F,14-05-1993,"""Jarvis""",BM-5043-wj,16-01-2020,"""Science and Technology"""
LI-3199,Connor,Billingsley,Connor Billingsley,M,25-06-2015,"""Jarvis""",RP-9762-rz,19-06-2020,"""Kitchen"""
LI-1796,Horatio,Rushforth,Horatio Rushforth,M,25-05-2010,"""Kits Focal""",BM-9339-wk,01-03-2020,"""Science and Technology"""
LI-8400,Jewel,Humphrey,Jewel Humphrey,F,08-02-2020,"""DIY Contrast""",BM-9533-eq,03-07-2020,"""Art and Craft"""
LI-5952,Leanora,Risley,Leanora Risley,F,20-01-2019,"""Jarvis""",RP-4861-bo,28-12-2019,"""Kitchen"""
LI-3243,Kerstin,Gendricke,Kerstin Gendricke,F,28-04-2017,"""Ultron""",BM-8532-re,10-03-2020,"""Kitchen"""
LI-2833,Vivyanne,Batalini,Vivyanne Batalini,F,30-12-2006,"""Jarvis""",BM-6341-rv,30-10-2019,"""Art and Craft"""
LI-1828,Elyse,McGiven,Elyse McGiven,F,14-06-2004,"""Ultron""",RP-8546-ob,16-03-2020,"""Kitchen"""
LI-8630,Poul,Darte,Poul Darte,M,14-06-2018,"""Jarvis""",JS-6996-ao,02-10-2019,"""Kitchen"""
LI-0704,Weylin,Dearing,Weylin Dearing,M,26-11-2004,"""Skynet""",BM-6669-rk,11-10-2019,"""Kitchen"""
LI-7676,Marlene,Kopec,Marlene Kopec,F,12-06-1994,"""Ultron""",RP-7265-bi,26-08-2020,"""Art and Craft"""
LI-2187,Mavis,Sharpus,Mavis Sharpus,F,15-08-2014,"""Jarvis""",RP-5650-rd,21-08-2020,"""Science and Technology"""
LI-3822,Elaine,Bertomeu,Elaine Bertomeu,F,09-09-1999,"""Jarvis""",RP-5504-jq,09-04-2020,"""Kitchen"""
LI-1233,Con,Seneschal,Con Seneschal,F,11-11-2003,"""Jarvis""",JS-6448-zp,27-01-2020,"""Kitchen"""
LI-3406,Brocky,Worgan,Brocky Worgan,M,05-10-2008,"""Skynet""",RP-8387-qd,25-07-2020,"""Science and Technology"""
LI-1025,Dory,Harlett,Dory Harlett,M,25-11-1994,"""Ultron""",JS-6826-yb,29-10-2020,"""Kitchen"""
LI-8698,Bond,Swateridge,Bond Swateridge,M,12-01-2017,"""Jarvis""",BM-4698-eh,11-10-2020,"""Art and Craft"""
LI-2968,Krysta,Markus,Krysta Markus,F,18-04-2000,"""Jarvis""",RP-5392-rp,11-06-2020,"""Art and Craft"""
LI-1232,Kinny,Paish,Kinny Paish,M,20-03-2018,"""Kits Focal""",JS-7593-pr,22-04-2020,"""Art and Craft"""
LI-6363,Elijah,Sheryn,Elijah Sheryn,M,13-09-2003,"""Jarvis""",HC-5058-mf,24-06-2020,"""Kitchen"""
LI-4621,Jacob,Sheer,Jacob Sheer,M,16-08-2011,"""Jarvis""",BM-3402-rw,10-01-2020,"""Kitchen"""
LI-8396,Anabel,Mazillius,Anabel Mazillius,F,02-05-2002,"""Skynet""",HC-5047-ve,17-04-2020,"""Art and Craft"""
LI-2295,Abie,Bonnick,Abie Bonnick,M,12-12-2014,"""DIY Quest""",BM-4251-cm,07-12-2019,"""Art and Craft"""
LI-6550,Cleavland,Adicot,Cleavland Adicot,M,10-05-1999,"""Jarvis""",BM-9876-ot,10-03-2020,"""Art and Craft"""
LI-4457,Rolph,Culter,Rolph Culter,M,16-02-1994,"""Jarvis""",JS-5189-vi,09-05-2020,"""Kitchen"""
LI-6581,Rorie,Blinco,Rorie Blinco,F,21-08-1993,"""Jarvis""",RP-6821-hg,30-10-2019,"""Art and Craft"""
LI-6776,Maddie,Osmant,Maddie Osmant,F,29-11-2007,"""Jarvis""",BM-3532-fw,21-01-2020,"""Kitchen"""
LI-5881,Pam,Tidgewell,Pam Tidgewell,F,09-06-2016,"""Jarvis""",JS-9222-dk,03-12-2019,"""Kitchen"""
LI-4446,Hobard,Lugton,Hobard Lugton,M,18-01-2012,"""Kits Focal""",BM-5914-fs,09-08-2020,"""Kitchen"""
LI-4503,Gian,Hammerman,Gian Hammerman,M,16-07-1999,"""Skynet""",JS-7767-ja,03-12-2019,"""Art and Craft"""
LI-2254,Neda,Jeanin,Neda Jeanin,F,10-08-2000,"""Jarvis""",BM-4143-sl,26-10-2020,"""Kitchen"""
LI-2149,Alonso,Callcott,Alonso Callcott,M,21-03-2018,"""Ultron""",RP-7352-dr,28-11-2019,"""Art and Craft"""
LI-5448,Tildi,Thunder,Tildi Thunder,F,29-11-2002,"""Skynet""",RP-9585-kh,23-03-2020,"""Art and Craft"""
LI-0837,Nert,Lound,Nert Lound,F,25-10-1999,"""Jarvis""",BM-9524-yb,07-03-2020,"""Kitchen"""
LI-9692,Kirsti,Keyes,Kirsti Keyes,F,08-03-2000,"""Skynet""",HC-7751-pr,18-09-2020,"""Kitchen"""
LI-8664,Sara,Yoakley,Sara Yoakley,F,13-01-2011,"""Jarvis""",BM-9811-ar,10-01-2020,"""Science and Technology"""
LI-1784,Cammy,Harkes,Cammy Harkes,F,09-04-2000,"""DIY Contrast""",RP-5192-go,18-01-2020,"""Kitchen"""
LI-8066,Dominic,Ambroise,Dominic Ambroise,M,01-04-1995,"""Ultron""",RP-3845-nq,16-07-2020,"""Kitchen"""
LI-5113,Ailee,Mouget,Ailee Mouget,F,06-05-1994,"""Skynet""",RP-9417-sc,16-11-2019,"""Science and Technology"""
LI-9585,Nikola,Ioan,Nikola Ioan,M,09-02-2002,"""Jarvis""",BM-4528-we,03-06-2020,"""Science and Technology"""
LI-8685,Rolf,Alcido,Rolf Alcido,M,18-05-1992,"""DIY Contrast""",RP-0151-rd,20-10-2020,"""Kitchen"""
LI-6948,Codie,Akers,Codie Akers,F,27-12-2003,"""Jarvis""",BM-7264-er,30-01-2020,"""Kitchen"""
LI-4385,Mechelle,Braisby,Mechelle Braisby,F,17-10-2009,"""Ultron""",RP-0241-ul,15-02-2020,"""Kitchen"""
LI-0388,Willa,Goatman,Willa Goatman,F,01-08-2014,"""Jarvis""",RP-3142-my,27-05-2020,"""Science and Technology"""
LI-0045,Dulcy,Serris,Dulcy Serris,F,25-01-1999,"""Jarvis""",RP-2023-ci,06-09-2020,"""Art and Craft"""
LI-6982,Butch,Lorden,Butch Lorden,M,21-10-2012,"""Jarvis""",HC-7481-ro,08-01-2020,"""Science and Technology"""
LI-7375,Barron,Kegan,Barron Kegan,M,22-06-2000,"""Ultron""",RP-8422-cy,16-10-2020,"""Science and Technology"""
LI-3505,Alberta,Marielle,Alberta Marielle,F,10-08-2011,"""Ultron""",JS-9262-os,03-01-2020,"""Art and Craft"""
LI-1072,Meta,Heckle,Meta Heckle,F,01-05-2008,"""Jarvis""",RP-2702-em,08-07-2020,"""Art and Craft"""
LI-2419,Etienne,Ollander,Etienne Ollander,M,27-10-1992,"""Jarvis""",JS-9210-kh,03-07-2020,"""Kitchen"""
LI-4162,Gardy,Martignon,Gardy Martignon,M,09-07-1999,"""Ultron""",BM-9580-ur,14-02-2020,"""Art and Craft"""
LI-3606,Tim,MacGibbon,Tim MacGibbon,F,17-01-2010,"""Jarvis""",RP-5494-fo,02-12-2019,"""Kitchen"""
LI-8411,Ignacius,Ksandra,Ignacius Ksandra,M,25-05-2009,"""Jarvis""",HC-2195-fs,14-03-2020,"""Science and Technology"""
LI-9252,Floris,Withringten,Floris Withringten,F,02-12-2013,"""Ultron""",RP-9066-bo,03-09-2020,"""Science and Technology"""
LI-7282,Ryann,Alflatt,Ryann Alflatt,F,04-05-2014,"""Ultron""",RP-4143-yf,04-10-2020,"""Kitchen"""
LI-3449,Virge,Hars,Virge Hars,M,21-01-2014,"""Jarvis""",HC-5427-tz,02-12-2019,"""Kitchen"""
LI-8395,Kenon,Oiseau,Kenon Oiseau,M,26-07-2007,"""Ultron""",RP-9443-zm,06-03-2020,"""Art and Craft"""
LI-9631,Vally,Bushaway,Vally Bushaway,F,21-08-2016,"""Skynet""",RP-4563-xw,11-01-2020,"""Science and Technology"""
LI-2980,Rodolfo,Churchman,Rodolfo Churchman,M,16-08-2018,"""Jarvis""",BM-1925-jv,24-10-2020,"""Kitchen"""
LI-0541,Maurice,Claiton,Maurice Claiton,M,14-11-2018,"""Jarvis""",RP-9344-ed,16-07-2020,"""Art and Craft"""
LI-4743,James,Phillipps,James Phillipps,M,11-08-2007,"""Kits Focal""",JS-1388-kj,09-07-2020,"""Kitchen"""
LI-9883,Richard,Foskew,Richard Foskew,M,30-11-2009,"""Kits Focal""",RP-8078-cl,16-07-2020,"""Art and Craft"""
LI-2110,Danny,Kunneke,Danny Kunneke,F,04-07-2016,"""Jarvis""",RP-5532-do,29-01-2020,"""Art and Craft"""
LI-4958,Karel,Wandtke,Karel Wandtke,M,07-10-2008,"""Jarvis""",HC-7617-bf,23-12-2019,"""Kitchen"""
LI-1785,Willy,Bernardo,Willy Bernardo,M,04-12-2006,"""Skynet""",BM-6010-pl,09-01-2020,"""Kitchen"""
LI-0932,Scarlett,MacFadin,Scarlett MacFadin,F,03-02-2000,"""Jarvis""",RP-6379-kv,23-08-2020,"""Kitchen"""
LI-3093,Marven,Bread,Marven Bread,M,31-10-2006,"""Jarvis""",RP-9245-mu,05-12-2019,"""Art and Craft"""
LI-6728,Cesare,Carnier,Cesare Carnier,M,17-07-2007,"""Kits Fireside""",BM-9403-dn,02-07-2020,"""Kitchen"""
LI-9103,Gasper,Pendlebury,Gasper Pendlebury,M,02-06-2004,"""Jarvis""",RP-2968-fg,19-07-2020,"""Kitchen"""
LI-5884,Cordelie,Wedmore,Cordelie Wedmore,F,28-08-1996,"""Ultron""",BM-0362-gl,08-10-2019,"""Science and Technology"""
LI-9885,Leann,Ayrton,Leann Ayrton,F,28-07-2012,"""Jarvis""",RP-7981-md,02-03-2020,"""Science and Technology"""
LI-4792,Sascha,Boxen,Sascha Boxen,M,24-02-1999,"""Jarvis""",RP-2308-hi,21-09-2020,"""Kitchen"""
